Age,Gender,Retailer,RetailerFreqency,Items,Ethnicity,Education,HouseholdIncome,Q_TotalDuration,SurveyTime,EXP-1,EXP-2,EXP-3,SAT-1,SAT-2,SAT-3,SAT-4,SAT-5,PWOM-1,PWOM-2,PWOM-3,INTENT-1,INTENT-2,INTENT-3,INTENT-4,ENJOY-1,ENJOY-2,ENJOY-3,ENJOY-4
77,Female,macys,Occasionally,blouses  womens,White,High School/GED,"$20,000 less",131,2,,7,,,7,,,,6,7,6,5,2,4,5,5,5,2,2
76,Male,kohls,Frequently,clothes,White,Some College/Associates Degree,"$75,000-$100,000",182,2,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,5,2,5,1
76,Male,staples,Somewhat Frequently,calenders,White,Some College/Associates Degree,"$50,001-75,000",163,2.5,7,7,7,7,7,7,7,7,6,6,7,7,1,7,6,5,3,4,2
74,Female,Meijer,Somewhat Frequently,groceries & gifts,White,Bachelor's degree,"$20,001-$35,000",247,2.5,2,2,2,2,2,2,2,2,2,2,2,2,5,2,4,5,6,6,3
62,Female,Kohl’s ,Somewhat Frequently,Sneakers,White,Some College/Associates Degree,"$75,000-$100,000",196,2.5,6,7,5,6,6,7,6,6,6,7,7,7,1,6,7,1,7,5,5
49,Female,Macys,Frequently,Clothing,White,Bachelor's degree,"Greater than $100,000",230,3,,,7,7,,,,,7,7,7,7,1,7,7,2,7,6,6
44,Female,Macys,Rarely,Cologne,Hispanic/Latino,Graduate/Professional Degree,"Greater than $100,000",228,3,6,6,6,7,6,7,7,7,6,6,6,5,2,5,6,5,5,4,4
29,Male,Book Mountain,Somewhat Rarely,Books,White,Some College/Associates Degree,"$20,000 less",140,3.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,4,6,6,4
58,Female,Gap.com,Somewhat Frequently,childrens clothing,White,Some College/Associates Degree,"Greater than $100,000",194,4,7,6,6,7,6,7,6,7,6,6,5,6,2,4,7,3,5,4,2
36,Female,Target ,Somewhat Frequently,Food ,White,Bachelor's degree,"$50,001-75,000",106,4,4,4,4,4,3,5,4,4,3,4,5,5,4,5,,3,3,4,5
55,Female,Dillard’s ,Occasionally,Shoes,White,Graduate/Professional Degree,"Greater than $100,000",334,4,7,7,7,7,7,7,7,7,7,7,1,1,6,6,6,1,7,6,6
63,Female,fairway market,Somewhat Frequently,food,White,Some College/Associates Degree,"$50,001-75,000",215,4,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,4,4,3,1
51,Male,Target,Frequently,Stocking Stuffers,White,Bachelor's degree,"Greater than $100,000",223,4.5,6,5,5,6,6,6,6,6,6,6,6,6,1,6,6,4,6,6,4
70,Female,Target,Somewhat Frequently,Christmas Gifts,White,High School/GED,"$35,001-$50,000",174,5.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,4,2,3
79,Female,shoprite,Frequently,food,White,Bachelor's degree,"Greater than $100,000",273,6,7,6,6,7,6,7,7,7,6,7,7,7,1,7,7,1,7,7,6
58,Female,Dillards,Rarely,Outfit for wedding,White,Some College/Associates Degree,"$35,001-$50,000",403,6.5,7,6,7,7,7,7,7,7,6,6,6,5,5,5,5,5,6,5,3
31,Female,walmart,Frequently,milk and eggs,White,Graduate/Professional Degree,"$75,000-$100,000",355,7,6,7,7,7,7,5,7,7,,6,6,7,6,7,7,7,6,6,7
40,Male,Shoe carnival,Occasionally,Shoes,Black,High School/GED,"$35,001-$50,000",273,7,7,7,7,,,,,,6,6,6,6,1,6,6,5,6,5,4
60,Female,Petco,Somewhat Frequently,Dog food,White,Bachelor's degree,"Greater than $100,000",196,7,7,7,7,7,7,7,7,7,6,6,6,7,1,7,7,2,6,4,3
31,Female,rnnny,Frequently,yw3qgdsaiuhol,White,,"$75,000-$100,000",592,8.5,7,7,7,7,7,7,7,7,7,7,7,7,7,2,5,6,6,7,7
67,Male,Amazon,Frequently,Beverages ,White,Some College/Associates Degree,"$75,000-$100,000",183,8.5,7,7,7,7,7,7,7,7,6,7,7,6,1,7,7,2,7,6,5
60,Female,macys,Occasionally,furniture,White,Bachelor's degree,"Greater than $100,000",220,9,7,7,7,7,7,7,7,7,6,6,6,4,4,4,5,1,6,6,5
56,Female,Game Stop,Somewhat Rarely,Virtual Reality Device,White,High School/GED,"$20,000 less",169,9.5,6,7,7,7,7,7,,7,7,6,5,7,1,6,7,6,3,3,1
36,Female,walmart,Frequently,Hair care products,Hispanic/Latino,Bachelor's degree,"Greater than $100,000",626,9.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,7,6,7
60,Male,target,Somewhat Frequently,cloths,White,Bachelor's degree,"Greater than $100,000",128,9.5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,5,4,5
61,Female,Meijer,Frequently,Food,White,Some College/Associates Degree,"Greater than $100,000",524,9.5,7,7,7,7,7,7,7,7,6,6,6,6,1,6,7,2,7,6,5
69,Female,Giant Eagle,Frequently,Birthday Cake,White,High School/GED,"$20,000 less",304,10.5,6,6,6,7,7,7,7,7,7,7,7,7,1,7,7,6,4,2,1
55,Female,V Watts,Occasionally,Christmas,White,Bachelor's degree,"$50,001-75,000",145,10.5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,7,5,4
47,Male,Target,Somewhat Frequently,Craft supplies ,White,Bachelor's degree,"Greater than $100,000",206,10.5,4,5,6,6,6,6,5,6,6,6,7,7,2,4,6,3,7,6,5
85,Female,Swiss colony,Occasionally,Christmas gifts,White,Bachelor's degree,"$75,000-$100,000",374,10.5,1,3,1,1,1,1,1,1,1,2,2,1,6,2,2,3,5,3,2
52,Female,Amazon ,Frequently,Electronics ,White,High School/GED,"$20,001-$35,000",166,11,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,7,7,6
65,Female,Fred Meyer,Frequently,Groceries,White,Some College/Associates Degree,"$35,001-$50,000",114,11,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,5,5,5
56,Female,Target,Occasionally,Printer,Hispanic/Latino,Some College/Associates Degree,"$20,001-$35,000",317,11,1,1,1,1,1,1,1,1,3,2,2,2,6,2,2,5,,6,2
73,Male,Taco Bell,Somewhat Frequently,food,White,Graduate/Professional Degree,"Greater than $100,000",181,11.5,3,3,3,3,3,3,3,3,3,4,3,5,3,4,5,5,4,4,4
58,Male,Nordstrom ,Rarely,Gifts for family ,East Asian,Graduate/Professional Degree,"$75,000-$100,000",154,11.5,7,7,7,6,6,7,7,4,6,7,7,4,1,4,6,4,4,7,4
57,Female,Kohls,Occasionally,Gifts,White,High School/GED,"$20,000 less",336,12,7,7,7,7,7,7,7,7,7,7,6,7,1,5,7,2,7,6,6
67,Female,Ralph Lauren,Occasionally,A sweater,White,Graduate/Professional Degree,"Greater than $100,000",116,12,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,7,7,5
57,Male,Walmart,Frequently,Flat screen tv,Black,High School/GED,"$20,001-$35,000",291,12.5,,7,,7,,,,,7,7,7,7,1,6,7,3,4,3,1
66,Female,Publix,Somewhat Frequently,Groceries,White,Graduate/Professional Degree,"$75,000-$100,000",202,12.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,5,5,7
30,Male,Kmart,Frequently,Foods,White,Graduate/Professional Degree,"$75,000-$100,000",260,13.5,7,6,7,7,6,6,7,6,6,6,7,7,1,6,7,1,7,6,4
57,Male,Amazon,Occasionally,Belts,White,High School/GED,"$20,000 less",256,14.5,7,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7,7
50,Female,Walgreens,Somewhat Frequently,Hi Chew Candy,White,High School/GED,"Greater than $100,000",146,14.5,7,7,7,7,7,7,7,7,7,7,7,7,1,5,5,4,7,7,5
50,Female,JC penney,Occasionally,shoes,East Asian,Graduate/Professional Degree,"$75,000-$100,000",557,15,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,5,4
74,Female,Albertsons ,Occasionally,Few groceries ,White,High School/GED,"$35,001-$50,000",376,15,7,7,7,7,7,7,7,7,7,7,7,7,1,7,1,2,6,6,2
61,Female,Kohls,Occasionally,bras,White,Bachelor's degree,"$50,001-75,000",132,15,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,3,5,5,4
54,Female,Macys,Occasionally,Christmas,East Asian,Bachelor's degree,"Greater than $100,000",138,15.5,6,5,5,4,5,5,5,5,5,5,5,5,1,4,5,3,6,6,5
68,Female,KTA,Rarely,Groceries ,White,Some College/Associates Degree,"$20,001-$35,000",229,17,,1,7,7,7,7,7,7,6,6,6,5,3,5,5,5,6,6,5
64,Female,Macys ,Rarely,no,Prefer not to answer,High School/GED,"$20,000 less",177,17.5,1,1,1,1,1,1,1,1,1,1,1,2,7,1,1,7,6,6,6
43,Female,Saks,Rarely,Dress,Black,Graduate/Professional Degree,"Greater than $100,000",162,18.5,7,7,7,7,7,7,7,7,7,7,7,6,1,6,7,3,5,5,2
56,Female,WALMART,Somewhat Frequently,GROCERIES,White,High School/GED,"$35,001-$50,000",190,18.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,4,7,4
49,Female,macys,Somewhat Frequently,dress,White,Graduate/Professional Degree,"$50,001-75,000",149,19,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,3,7,7,7
76,Male,llbean,Rarely,coats,White,Graduate/Professional Degree,"Greater than $100,000",339,19,7,5,7,7,7,7,5,7,7,7,7,5,1,6,6,7,1,1,1
44,Female,Staples ,Occasionally,Laptop computer ,Black,Bachelor's degree,"$35,001-$50,000",196,19.5,7,7,7,7,7,7,7,7,6,6,6,7,1,7,7,2,5,7,7
64,Female,Walmart,Frequently,toys,Hispanic/Latino,Bachelor's degree,"$75,000-$100,000",165,19.5,6,6,6,6,6,7,6,6,6,7,7,6,1,7,7,1,7,6,7
69,Female,Eileen fisher,Frequently,Tunics,White,Graduate/Professional Degree,"$50,001-75,000",251,20,7,7,7,,,,7,,7,7,7,,1,7,7,1,6,6,1
43,Female,Publix,Frequently,Pediasure,White,Bachelor's degree,"$75,000-$100,000",270,21,7,7,7,7,7,7,7,7,7,6,6,7,1,7,7,2,6,5,3
40,Female,Sears,Somewhat Rarely,Kmart,East Asian,Bachelor's degree,"$35,001-$50,000",128,21.5,6,5,5,4,4,4,5,3,4,4,4,4,4,4,4,4,4,3,1
44,Female,Costco,Somewhat Frequently,Snapware & metal counter baskets ,Hispanic/Latino,Some College/Associates Degree,"$50,001-75,000",227,22,7,7,7,7,7,7,7,7,7,6,6,7,1,6,7,2,7,7,5
71,Female,Barnes and Noble,Frequently,Books lots of them,White,Some College/Associates Degree,"$50,001-75,000",156,22.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,7,7,7
73,Female,amazon,Occasionally,book,White,Bachelor's degree,"Greater than $100,000",161,22.5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,4,5
57,Female,Amazon ,Somewhat Frequently,Heated mattress pad,White,Some College/Associates Degree,"$50,001-75,000",287,22.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,5,6,6,4
69,Male,Macy's,Rarely,Coffee gift,White,Some College/Associates Degree,"$35,001-$50,000",233,23,3,4,5,3,4,5,5,4,4,3,3,2,4,3,3,2,4,3,2
20,Female,Dollar tree,Frequently,Snacks ,Hispanic/Latino,High School/GED,"$20,000 less",128,24.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7
72,Female,Big Lots,Occasionally,comforter,White,Some College/Associates Degree,"$20,000 less",301,25.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,2,6,5,4
66,Female,best buy,Somewhat Frequently,laptop,White,Some College/Associates Degree,"$50,001-75,000",280,27.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,7,7,7
70,Female,Walmart SuperCenter,Frequently,We were getting pictures copied.,White,High School/GED,"$75,000-$100,000",1313,30,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,7,7,7
44,Female,yankee candle,Occasionally,candles,White,Graduate/Professional Degree,"Greater than $100,000",602,30,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,7,7,2
59,Female,Lands End,Somewhat Frequently,Clothing,White,Bachelor's degree,"Greater than $100,000",153,30.5,6,6,6,6,6,6,6,6,7,7,7,7,1,7,7,5,5,3,1
23,Male,Macy's,Occasionally,,East Asian,Bachelor's degree,"Greater than $100,000",97,30.5,6,5,5,6,6,6,6,5,5,5,5,6,2,3,6,3,5,5,3
67,Male,DOLLAR GENERAL,Frequently,JUICE,Black,High School/GED,"$35,001-$50,000",289,30.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,3,4,2
87,Female,drug mart,Somewhat Frequently,bread,Black,,"$35,001-$50,000",342,31,4,,,,,,4,,6,6,6,6,2,6,6,3,5,6,5
38,Female,Walmart,Frequently,Random stuff ,White,High School/GED,"$20,001-$35,000",210,31,4,4,4,3,3,3,3,3,3,3,2,3,5,4,3,4,5,4,5
59,Female,Michaels Craft Store online,Somewhat Rarely,food coloring,White,Some College/Associates Degree,"Greater than $100,000",159,31.5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,7,2,1,1
72,Female,warmart,Occasionally,foods,Black,High School/GED,"$20,000 less",1039,31.5,7,6,6,7,6,6,6,6,6,6,6,6,2,4,6,4,5,5,4
43,Female,Walmart,Frequently,Walmart,Black,High School/GED,"$20,001-$35,000",126,32,5,5,5,4,4,4,4,4,6,6,6,6,6,6,6,3,4,4,5
20,Female,Five Below,Somewhat Frequently,Christmas Presents,White,Some College/Associates Degree,"$35,001-$50,000",102,32,7,7,6,7,7,7,7,6,7,7,7,7,1,4,7,5,5,3,3
66,Female,macys.com,Rarely,women's cotton pajamas,White,Graduate/Professional Degree,"$50,001-75,000",1010,33.5,7,7,7,7,7,7,7,7,7,7,7,6,1,6,7,2,5,5,3
30,Female,Builder Bear,Occasionally,Raindeers,Black,Graduate/Professional Degree,"Greater than $100,000",1433,34,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,7,7,7
72,Female,wayfair,Occasionally,headboard,White,Some College/Associates Degree,"$50,001-75,000",259,36,7,7,7,7,7,7,7,7,7,7,7,7,2,7,7,5,7,6,6
77,Female,target,Somewhat Rarely,coat for granddaughter,White,High School/GED,"$35,001-$50,000",170,37.5,7,7,7,7,7,7,7,7,6,6,6,5,1,5,6,4,3,5,2
54,Female,Walmart,Frequently,Groceries,White,Bachelor's degree,"$35,001-$50,000",200,38,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,3,3,1
45,Male,walmart,Frequently,target,White,Some College/Associates Degree,"$35,001-$50,000",537,38.5,7,6,7,7,6,7,7,6,,6,6,7,7,6,7,3,6,6,7
44,Male,Target ,Frequently,Groceries ,Hispanic/Latino,Some College/Associates Degree,"$75,000-$100,000",662,38.5,7,7,7,7,7,7,7,7,7,7,6,7,6,6,7,3,5,2,4
69,Male,Albertsons,Frequently,Groceries,White,Bachelor's degree,"$50,001-75,000",123,39,7,7,7,7,7,7,7,7,7,7,7,7,1,6,7,5,3,2,1
60,Female,Ross,Occasionally,Clothes ,White,Some College/Associates Degree,"$20,000 less",165,41,7,7,7,7,7,7,7,7,6,6,6,6,2,4,6,3,6,5,5
46,Female,Walmart Neighborhood Market ,Somewhat Frequently,groceries,White,Bachelor's degree,"Greater than $100,000",202,42.5,4,4,2,3,3,4,3,4,5,5,5,6,2,5,6,5,3,2,1
62,Female,Kroger,Frequently,Christmas dinner,White,Some College/Associates Degree,"$20,000 less",495,43,7,7,7,7,7,7,7,7,7,6,6,7,1,5,6,3,5,6,4
73,Female,wal-mart,Somewhat Frequently,food,White,,"$50,001-75,000",251,43,1,1,1,1,1,1,1,,1,1,1,1,5,3,6,4,1,4,4
59,Female,ann taylor loft,Occasionally,clothes,White,Bachelor's degree,"$75,000-$100,000",222,43,6,6,6,7,7,6,6,6,6,6,6,6,1,6,7,2,7,7,6
59,Female,amazon,Frequently,amazon,White,Some College/Associates Degree,"Greater than $100,000",176,43.5,7,7,7,7,7,7,7,7,6,6,7,6,6,7,6,6,6,6,7
62,Female,Dillards outlet,Rarely,Dresses,Black,Some College/Associates Degree,"$20,001-$35,000",271,44.5,,,,,7,,7,7,1,1,1,7,1,7,7,5,5,6,2
71,Female,.MyRacehorse.com,Rarely,1 share of racehorse,White,Some College/Associates Degree,"$35,001-$50,000",111,45,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,6,4,3,2
51,Female,Scheels,Occasionally,Gift,White,High School/GED,"Greater than $100,000",270,45.5,,,7,7,7,7,7,7,7,7,7,7,1,6,7,4,6,3,1
61,Female,Home Goods,Somewhat Frequently,Christmas gifts,White,Some College/Associates Degree,"$50,001-75,000",167,45.5,6,6,6,7,7,7,7,7,6,6,6,6,1,7,7,2,6,6,2
65,Female,Penneys,Somewhat Rarely,Coat,White,Bachelor's degree,"$35,001-$50,000",143,46,6,6,6,7,7,7,7,7,7,7,7,5,7,7,7,4,6,6,5
33,Female,target,Frequently,christmas presents,East Asian,High School/GED,"Greater than $100,000",957,47,7,7,7,7,7,7,7,7,7,7,7,7,1,5,7,3,6,6,5
58,Female,Bath and Body Works,Occasionally,Hand Soap,White,Bachelor's degree,"Greater than $100,000",590,47.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,2,7,7,7
55,Female,Germaine Lexus ,Rarely,Suv,White,Bachelor's degree,"Greater than $100,000",134,48,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,5,5,2
71,Female,Tageet,Somewhat Rarely,toys for grandson,White,Some College/Associates Degree,"$50,001-75,000",209,48,5,5,6,5,5,5,5,5,5,5,4,4,3,4,5,1,7,6,5
61,Female,Boscovs,Occasionally,Apparel,White,Bachelor's degree,"Greater than $100,000",215,49,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,4,5,5,4
69,Female,pet smatt,Occasionally,doggie sweater,White,Some College/Associates Degree,"$20,000 less",318,49,6,5,6,7,6,6,6,6,6,6,6,6,2,2,6,6,3,2,2
50,Male,walmart,Frequently,target,White,Bachelor's degree,"Greater than $100,000",153,49.5,6,7,5,5,6,6,5,6,6,5,6,6,5,5,6,6,5,4,6
51,Male,Amazon,Somewhat Frequently,Amazmon,White,Some College/Associates Degree,"$75,000-$100,000",481,50.5,4,6,5,6,5,7,5,6,7,5,6,5,5,6,5,7,6,4,5
67,Female,kohls,Somewhat Frequently,black friday deals,White,,"$50,001-75,000",244,51.5,,1,,7,7,7,7,7,6,6,6,6,1,4,7,2,7,5,3
40,Male,Palmetto State Armory,Somewhat Rarely,Firearm,White,Bachelor's degree,"Greater than $100,000",130,52,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,2,3,2
26,Female,Amazon ,Somewhat Frequently,Don't know ,White,Graduate/Professional Degree,"$75,000-$100,000",151,53.5,7,6,6,7,6,7,7,7,7,6,6,7,7,7,6,6,7,7,6
68,Female,home depot,Frequently,fireplace heater,White,,"$20,001-$35,000",153,53.5,7,7,4,7,7,7,7,4,7,7,7,7,1,7,7,7,1,1,1
61,Female,Kohls,Somewhat Frequently,clothes,White,Graduate/Professional Degree,"$50,001-75,000",214,55,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,3,6,7,5
71,Female,Sprouts,Rarely,lobster,White,,"$35,001-$50,000",162,55.5,3,4,2,2,2,2,2,2,2,2,2,2,7,1,1,5,6,3,1
67,Female,Costco,Somewhat Frequently,Groceries,White,Some College/Associates Degree,"$35,001-$50,000",690,56,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,4,3,3,3
74,Female,Chico's ,Occasionally,Clothes ,White,Bachelor's degree,"$50,001-75,000",198,57,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,3,7,6,3
46,Female,Macys,Frequently,Boots,Hispanic/Latino,Some College/Associates Degree,"Greater than $100,000",117,59,7,6,7,7,7,7,7,7,6,6,6,7,1,5,7,1,7,5,6
42,Female,Sear,Rarely,a washer/dryer,Hispanic/Latino,Bachelor's degree,"Greater than $100,000",136,60,1,1,4,2,1,3,1,1,1,1,1,1,7,1,1,3,1,2,3
39,Female,Trader Joe,Frequently,grocery,East Asian,Bachelor's degree,"$75,000-$100,000",149,61,7,7,7,7,7,7,7,7,6,6,6,6,1,6,6,5,5,7,5
67,Female,Hallmark,Occasionally,Christmas cards and gifts,White,Some College/Associates Degree,"$50,001-75,000",358,63,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,5,7,6,2
58,Female,bed bath beyond,Frequently,coffee mugs,White,Bachelor's degree,"Greater than $100,000",141,63.5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,2,5,6,5
